Observatory/Site name,Status,Notes
Subaru,Open,Night obseration resumed on May 18.
Sunspot Solar,Closed,Much reduced essential personnel
Submillimeter Array (SMA),Closed,
Super-LOTIS,Closed,
SAAO Sutherland,Reduced,"Reopened for remote observing from Cape Town on May 13, with instrument restrictions (SHOC on 1m, SpUpNIC on 1.9m, limited grating change-outs)"
Swift,Open,
TAROT-TCA,Open,
TAROT-TCH,Closed,
TAROT-TRE,Open,
TESS,Open,admin note: Normal operations as per email from the PI on April 13
NARIT-TNO,Open,
TCS - Teide Observatory,Open,Remote only
TFRM (Telescope Fabra-ROA Montsec),Open,Robotic Operation. Located at Montsec Observatory OAdM
TNG,Open,Service mode. No visitors
UH88,Closed,As of March 25
UKIRT,Closed,
Unistellar,Open,Citizen science network
VATT 1.8m,Closed,
Vera Rubin Observatory site,Closed,
VERITAS,Closed,Closed until at least May 31
Virgo Observatory,Closed,Observing operations were suspended on 27-Mar-2020 at 17:00 UTC. It is unknown at this time when observing mode operation may resume. Site remains closed for Education and Outreach visitors and programs.
WSRT,Open,
ZTF,Open,Engineering support reduced
ZTSh CrAO,Open,
